NOTICIA;DEPARTAMENTO;MUNICIPIO_HECHOS;FECHA_HECHOS;DELITO;ETAPA;FISCAL_ASIGNADO;HECHOS
NTC_000001;BOLIVAR;Medellin;20/01/2023;HURTO;JUICIO;FISCAL_010;El procesado ingresó a la vivienda y agredió físicamente a la víctima.
NTC_000002;ANTIOQUIA;Cali;4/10/2022;DELITOS SEXUALES;INDAGACIÓN;FISCAL_009;Los hechos ocurrieron en presencia de menores de edad, aumentando la gravedad.
NTC_000003;BOLIVAR;Medellin;4/07/2024;LESIONES PERSONALES;INVESTIGACIÓN;FISCAL_003;La denunciante refiere constantes agresiones verbales y físicas por parte de su pareja.
NTC_000004;ATLANTICO;calí;31/08/2022;LESIONES PERSONALES;JUICIO;FISCAL_007;La víctima fue interceptada en vía pública y despojada de sus pertenencias.
NTC_000005;VALLE;Barranquilla;10/08/2020;VIOLENCIA INTRAFAMILIAR;INVESTIGACIÓN;FISCAL_003;Durante una riña, el implicado ocasionó lesiones con arma blanca a la víctima.
NTC_000006;ATLANTICO;Barranquilla;17/07/2023;LESIONES PERSONALES;JUICIO;FISCAL_001;Los hechos ocurrieron en presencia de menores de edad, aumentando la gravedad.
NTC_000007;BOLIVAR;Cali;8/02/2022;LESIONES PERSONALES;JUICIO;FISCAL_005;El sospechoso fue sorprendido hurtando un establecimiento comercial.
NTC_000008;ATLANTICO;Bogotá;26/07/2023;HOMICIDIO;JUICIO;FISCAL_006;La víctima fue intimidada con arma de fuego para entregar sus pertenencias.
NTC_000009;BOLIVAR;Bogotá;4/04/2023;HURTO;INVESTIGACIÓN;FISCAL_001;El procesado ingresó a la vivienda y agredió físicamente a la víctima.
NTC_000010;ANTIOQUIA;Barranquilla;9/02/2024;DELITOS SEXUALES;EJECUCIÓN;FISCAL_006;Según el informe médico, la víctima presenta múltiples hematomas y laceraciones.
NTC_000011;CUNDINAMARCA;Barranquilla;24/02/2023;HURTO;INDAGACIÓN;FISCAL_004;La víctima fue interceptada en vía pública y despojada de sus pertenencias.
NTC_000012;ATLANTICO;Cartagena;23/05/2021;HURTO;INDAGACIÓN;FISCAL_004;El sospechoso fue sorprendido hurtando un establecimiento comercial.
NTC_000013;CUNDINAMARCA;Cartagena;6/03/2021;VIOLENCIA INTRAFAMILIAR;EJECUCIÓN;FISCAL_002;Según el informe médico, la víctima presenta múltiples hematomas y laceraciones.
NTC_000014;BOLIVAR;Cartagena;17/08/2023;DELITOS SEXUALES;EJECUCIÓN;FISCAL_006;El indiciado realizó disparos en contra de la víctima causándole la muerte.
NTC_000015;CUNDINAMARCA;Cali;5/08/2021;DELITOS SEXUALES;INVESTIGACIÓN;FISCAL_009;El indiciado realizó disparos en contra de la víctima causándole la muerte.
NTC_000016;ATLANTICO;calí;29/12/2022;VIOLENCIA INTRAFAMILIAR;JUICIO;FISCAL_007;La víctima fue intimidada con arma de fuego para entregar sus pertenencias.
NTC_000017;ANTIOQUIA;Bogotá;30/08/2023;HURTO;INDAGACIÓN;FISCAL_010;Los hechos ocurrieron en presencia de menores de edad, aumentando la gravedad.
NTC_000018;ATLANTICO;Barranquilla;11/05/2023;DELITOS SEXUALES;EJECUCIÓN;FISCAL_003;Según el informe médico, la víctima presenta múltiples hematomas y laceraciones.
NTC_000019;ANTIOQUIA;Cartagena;25/06/2024;VIOLENCIA INTRAFAMILIAR;JUICIO;FISCAL_004;Los hechos ocurrieron en presencia de menores de edad, aumentando la gravedad.
NTC_000020;ATLANTICO;Cartagena;13/04/2023;DELITOS SEXUALES;INVESTIGACIÓN;FISCAL_003;El indiciado realizó disparos en contra de la víctima causándole la muerte.
NTC_000021;ATLANTICO;Barranquilla;16/09/2020;DELITOS SEXUALES;INVESTIGACIÓN;FISCAL_003;El sospechoso fue sorprendido hurtando un establecimiento comercial.
NTC_000022;CUNDINAMARCA;Cartagena;2022-30-90;DELITOS SEXUALES;INDAGACIÓN;FISCAL_007;La víctima fue interceptada en vía pública y despojada de sus pertenencias.
NTC_000023;ATLANTICO;Barranquilla;22/01/2023;DELITOS SEXUALES;JUICIO;FISCAL_001;Durante una riña, el implicado ocasionó lesiones con arma blanca a la víctima.
NTC_000024;ATLANTICO;Barranquilla;25/02/2022;VIOLENCIA INTRAFAMILIAR;INDAGACIÓN;FISCAL_003;El sospechoso fue sorprendido hurtando un establecimiento comercial.
NTC_000025;ANTIOQUIA;Medellin;22/07/2022;HURTO;INDAGACIÓN;FISCAL_006;El procesado ingresó a la vivienda y agredió físicamente a la víctima.
NTC_000026;ANTIOQUIA;Bogotá;12/01/2021;HURTO;INVESTIGACIÓN;FISCAL_007;Se denuncia que el menor fue objeto de actos sexuales abusivos por parte de un familiar.
NTC_000027;ATLANTICO;Cartagena;28/11/2021;VIOLENCIA INTRAFAMILIAR;JUICIO;FISCAL_004;Se denuncia que el menor fue objeto de actos sexuales abusivos por parte de un familiar.
NTC_000028;BOLIVAR;Medellin;7/08/2023;VIOLENCIA INTRAFAMILIAR;INDAGACIÓN;FISCAL_005;Según el informe médico, la víctima presenta múltiples hematomas y laceraciones.
NTC_000029;ANTIOQUIA;Cartagena;31/05/2022;DELITOS SEXUALES;INVESTIGACIÓN;FISCAL_003;La víctima fue interceptada en vía pública y despojada de sus pertenencias.
NTC_000030;BOLIVAR;Bogotá;29/10/2022;LESIONES PERSONALES;INDAGACIÓN;FISCAL_002;Según el informe médico, la víctima presenta múltiples hematomas y laceraciones.
NTC_000031;ANTIOQUIA;Barranquilla;17/02/2024;LESIONES PERSONALES;JUICIO;FISCAL_007;El procesado ingresó a la vivienda y agredió físicamente a la víctima.
NTC_000032;ATLANTICO;Medellin;27/06/2022;DELITOS SEXUALES;INVESTIGACIÓN;FISCAL_001;Los hechos ocurrieron en presencia de menores de edad, aumentando la gravedad.
NTC_000033;CUNDINAMARCA;Cali;1/07/2021;DELITOS SEXUALES;EJECUCIÓN;FISCAL_008;Los hechos ocurrieron en presencia de menores de edad, aumentando la gravedad.
NTC_000034;BOLIVAR;Bogotá;12/01/2024;VIOLENCIA INTRAFAMILIAR;EJECUCIÓN;FISCAL_004;Durante una riña, el implicado ocasionó lesiones con arma blanca a la víctima.
NTC_000035;ATLANTICO;Barranquilla;29/09/2021;VIOLENCIA INTRAFAMILIAR;INVESTIGACIÓN;FISCAL_004;El sospechoso fue sorprendido hurtando un establecimiento comercial.
NTC_000036;CUNDINAMARCA;Cali;5/03/2021;VIOLENCIA INTRAFAMILIAR;INDAGACIÓN;FISCAL_008;La víctima fue intimidada con arma de fuego para entregar sus pertenencias.
NTC_000037;CUNDINAMARCA;calí;11/10/2021;LESIONES PERSONALES;INVESTIGACIÓN;FISCAL_006;El sospechoso fue sorprendido hurtando un establecimiento comercial.
NTC_000038;ATLANTICO;Medellin;2022-30-90;HURTO;EJECUCIÓN;FISCAL_005;Durante una riña, el implicado ocasionó lesiones con arma blanca a la víctima.
NTC_000039;VALLE;Cali;16/07/2021;VIOLENCIA INTRAFAMILIAR;EJECUCIÓN;FISCAL_004;La víctima fue intimidada con arma de fuego para entregar sus pertenencias.
NTC_000040;VALLE;Barranquilla;9/02/2023;HURTO;INDAGACIÓN;FISCAL_004;Durante una riña, el implicado ocasionó lesiones con arma blanca a la víctima.
NTC_000041;VALLE;Cartagena;24/08/2020;HURTO;INVESTIGACIÓN;FISCAL_001;Durante una riña, el implicado ocasionó lesiones con arma blanca a la víctima.
NTC_000042;ATLANTICO;Cartagena;29/07/2021;LESIONES PERSONALES;JUICIO;FISCAL_004;La víctima fue interceptada en vía pública y despojada de sus pertenencias.
NTC_000043;CUNDINAMARCA;Cali;9/06/2024;LESIONES PERSONALES;INVESTIGACIÓN;FISCAL_007;El indiciado realizó disparos en contra de la víctima causándole la muerte.
NTC_000044;ANTIOQUIA;Cartagena;23/10/2023;DELITOS SEXUALES;INDAGACIÓN;FISCAL_006;El procesado ingresó a la vivienda y agredió físicamente a la víctima.
NTC_000045;BOLIVAR;Barranquilla;26/06/2023;HOMICIDIO;JUICIO;FISCAL_005;El sospechoso fue sorprendido hurtando un establecimiento comercial.
NTC_000046;ANTIOQUIA;Barranquilla;13/04/2021;HOMICIDIO;INVESTIGACIÓN;FISCAL_002;Se denuncia que el menor fue objeto de actos sexuales abusivos por parte de un familiar.
NTC_000047;BOLIVAR;Medellin;8/11/2023;LESIONES PERSONALES;EJECUCIÓN;FISCAL_005;Según el informe médico, la víctima presenta múltiples hematomas y laceraciones.
NTC_000048;BOLIVAR;Bogotá;20/05/2022;DELITOS SEXUALES;EJECUCIÓN;FISCAL_006;El indiciado realizó disparos en contra de la víctima causándole la muerte.
NTC_000049;BOLIVAR;Cali;6/03/2024;LESIONES PERSONALES;INDAGACIÓN;FISCAL_009;Durante una riña, el implicado ocasionó lesiones con arma blanca a la víctima.
NTC_000050;CUNDINAMARCA;Medellin;18/07/2023;LESIONES PERSONALES;INDAGACIÓN;FISCAL_007;Se denuncia que el menor fue objeto de actos sexuales abusivos por parte de un familiar.
